error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0,0,0,0,mcl,0,-0.0001,0,odom,0,-0.0001,0,
error,0.000104992,0.000104992,0,0,mcl,0.0176106,-0.0001,0,odom,0.0175056,-0.0001,0,
error,0.000459352,0.000459352,0,0,mcl,0.0641809,-0.0001,0,odom,0.0637216,-0.0001,0,
error,0.000772823,0.000772823,0,0,mcl,0.111221,-0.0001,0,odom,0.110448,-0.0001,0,
error,0.00153413,0.00153413,0,0,mcl,0.168223,-0.0001,0,odom,0.166689,-0.0001,0,
error,0.00192398,0.00192398,0,0,mcl,0.215481,-0.0001,0,odom,0.213557,-0.0001,0,
error,0.00246258,0.00246258,0,0,mcl,0.252312,-0.0001,0,odom,0.24985,-0.0001,0,
error,0.00250489,0.00250489,0,0,mcl,0.255294,-0.0001,0,odom,0.252789,-0.0001,0,
