error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.0130747,0.012973,0.00162814,-0.0750961,mcl,0.012973,0.00152814,-0.0750961,odom,0,-0.0001,0,
error,0.0130747,0.012973,0.00162814,-0.0750961,mcl,0.012973,0.00152814,-0.0750961,odom,0,-0.0001,0,
error,0.0142141,-0.0117436,0.00800805,-0.373811,mcl,-0.0117436,0.00790805,-0.373811,odom,0,-0.0001,0,
error,0.0357099,-0.000874615,0.0356992,-0.440822,mcl,-0.000874615,0.0355992,-0.440822,odom,0,-0.0001,0,
error,0.00538642,-0.00324165,0.00430177,-0.40084,mcl,-0.00324165,0.00420177,-0.40084,odom,0,-0.0001,0,
error,0.0318927,0.0067289,0.0311747,-0.641964,mcl,0.0067289,0.0310747,-0.641964,odom,0,-0.0001,0,
error,0.0505818,0.021699,0.045691,-1.21011,mcl,0.021699,0.045591,-1.21011,odom,0,-0.0001,0,
error,0.0044163,0.00436492,0.000671723,-0.418311,mcl,0.00436492,0.000571723,-0.418311,odom,0,-0.0001,0,
error,0.00239508,0.00188213,0.00148122,-0.316227,mcl,0.00188213,0.00138122,-0.316227,odom,0,-0.0001,0,
error,0.0200873,0.000877256,0.0200682,-0.668375,mcl,0.000877256,0.0199682,-0.668375,odom,0,-0.0001,0,
error,0.017172,0.0117289,0.0125424,-0.728485,mcl,0.0117289,0.0124424,-0.728485,odom,0,-0.0001,0,
error,0.0314511,0.00568034,0.0309339,-0.826883,mcl,0.00568034,0.0308339,-0.826883,odom,0,-0.0001,0,
error,0.026589,0.00837446,0.0252358,-0.636494,mcl,0.00837446,0.0251358,-0.636494,odom,0,-0.0001,0,
error,0.0289997,0.00756642,0.0279952,-0.427471,mcl,0.00756642,0.0278952,-0.427471,odom,0,-0.0001,0,
error,0.0225212,0.00585026,0.021748,-0.474933,mcl,0.00585026,0.021648,-0.474933,odom,0,-0.0001,0,
error,0.0280772,0.00914903,0.0265448,-0.918037,mcl,0.00914903,0.0264448,-0.918037,odom,0,-0.0001,0,
error,0.0227522,0.00648368,0.0218088,-0.640994,mcl,0.0209809,0.0217088,-0.640994,odom,0.0144972,-0.0001,0,
error,0.0258784,0.00622144,0.0251194,-0.607363,mcl,0.0638146,0.0250194,-0.607363,odom,0.0575932,-0.0001,0,
error,0.0249625,0.00825417,0.0235584,-1.05047,mcl,0.122652,0.0234584,-1.05047,odom,0.114398,-0.0001,0,
