error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.0542295,0.042391,0.0338207,0.465753,mcl,0.042391,0.0337207,0.465753,odom,0,-0.0001,0,
error,0.0542295,0.042391,0.0338207,0.465753,mcl,0.042391,0.0337207,0.465753,odom,0,-0.0001,0,
error,0.0144908,0.0142491,0.00263588,0.604955,mcl,0.0142491,0.00253588,0.604955,odom,0,-0.0001,0,
error,0.0475025,0.0153839,0.0449425,-0.326745,mcl,0.0153839,0.0448425,-0.326745,odom,0,-0.0001,0,
error,0.0885751,-0.00578052,0.0883863,-1.08201,mcl,-0.00578052,0.0882863,-1.08201,odom,0,-0.0001,0,
error,0.0569282,0.00606948,0.0566037,-0.816588,mcl,0.00606948,0.0565037,-0.816588,odom,0,-0.0001,0,
error,0.06174,0.0199954,0.0584124,-0.417548,mcl,0.0199954,0.0583124,-0.417548,odom,0,-0.0001,0,
error,0.102156,0.024375,0.099205,-1.49699,mcl,0.024375,0.099105,-1.49699,odom,0,-0.0001,0,
error,0.0979332,-0.00550453,0.0977783,-0.586242,mcl,-0.00550453,0.0976783,-0.586242,odom,0,-0.0001,0,
error,0.127176,0.0280446,0.124045,-1.05473,mcl,0.0280446,0.123945,-1.05473,odom,0,-0.0001,0,
error,0.103742,0.0308459,0.0990501,-0.489015,mcl,0.0308459,0.0989501,-0.489015,odom,0,-0.0001,0,
error,0.123276,0.00971265,0.122893,-0.675456,mcl,0.00971265,0.122793,-0.675456,odom,0,-0.0001,0,
error,0.055989,0.0366144,0.0423575,0.895212,mcl,0.0366144,0.0422575,0.895212,odom,0,-0.0001,0,
error,0.0574698,0.0244937,0.0519888,0.297369,mcl,0.0244937,0.0518888,0.297369,odom,0,-0.0001,0,
error,0.119302,0.014742,0.118387,-0.893362,mcl,0.014742,0.118287,-0.893362,odom,0,-0.0001,0,
error,0.0848358,0.00426281,0.0847286,-0.187433,mcl,0.00426281,0.0846286,-0.187433,odom,0,-0.0001,0,
error,0.0941719,0.015891,0.0928215,-0.211521,mcl,0.0337336,0.0927215,-0.211521,odom,0.0178426,-0.0001,0,
error,0.0964491,0.00780146,0.0961331,-0.341758,mcl,0.0772327,0.0960331,-0.341758,odom,0.0694312,-0.0001,0,
error,0.0923122,0.00702679,0.0920444,-0.141111,mcl,0.127152,0.0919444,-0.141111,odom,0.120125,-0.0001,0,
error,0.0460194,-0.00390281,0.0458536,0.704796,mcl,0.161776,0.0457536,0.704796,odom,0.165679,-0.0001,0,
error,0.072535,0.0168997,0.0705388,-0.249499,mcl,0.233206,0.0704388,-0.249499,odom,0.216306,-0.0001,0,
error,0.122051,0.0206478,0.120291,-0.518294,mcl,0.270733,0.120191,-0.518294,odom,0.250085,-0.0001,0,
error,0.100227,0.0264165,0.0966836,-0.50585,mcl,0.278652,0.0965836,-0.50585,odom,0.252235,-0.0001,0,
error,0.123419,0.0242641,0.12101,0.0660084,mcl,0.276499,0.12091,0.0660084,odom,0.252235,-0.0001,0,
error,0.0656903,0.0109458,0.064772,0.759717,mcl,0.263181,0.064672,0.759717,odom,0.252235,-0.0001,0,
error,0.112083,-0.00727475,0.111847,0.405856,mcl,0.244961,0.111747,0.405856,odom,0.252235,-0.0001,0,
error,0.0551277,0.0286322,0.0471091,0.604288,mcl,0.280868,0.0470091,0.604288,odom,0.252235,-0.0001,0,
error,0.0964612,0.0188022,0.094611,0.39765,mcl,0.271038,0.094511,0.39765,odom,0.252235,-0.0001,0,
error,0.0832897,0.0133367,0.082215,0.392716,mcl,0.28128,0.082115,0.392716,odom,0.267944,-0.0001,0,
error,0.0906175,0.0112122,0.0899212,0.0437794,mcl,0.332381,0.0898212,0.0437794,odom,0.321168,-0.0001,0,
error,0.0785911,-0.0196159,0.0761038,0.557602,mcl,0.347434,0.0760038,0.557602,odom,0.36705,-0.0001,0,
error,0.0622653,0.0118182,0.0611334,0.273126,mcl,0.432748,0.0610334,0.273126,odom,0.42093,-0.0001,0,
error,0.0614657,0.015776,0.0594066,0.0658916,mcl,0.483579,0.0593066,0.0658916,odom,0.467803,-0.0001,0,
error,0.0565003,-0.0349598,0.0443858,0.654462,mcl,0.495724,0.0442858,0.654462,odom,0.530683,-0.0001,0,
error,0.0972154,0.04279,0.0872918,-0.0487974,mcl,0.625358,0.0871918,-0.0487974,odom,0.582568,-0.0001,0,
error,0.0774853,0.00178779,0.0774647,1.47641,mcl,0.623978,0.0773647,1.47641,odom,0.62219,-0.0001,0,
error,0.083427,-0.0274635,0.0787771,0.472882,mcl,0.640029,0.0786771,0.472882,odom,0.667493,-0.0001,0,
error,0.0286444,0.00632304,0.0279378,0.842572,mcl,0.729183,0.0278378,0.842572,odom,0.72286,-0.0001,0,
error,0.0612979,0.00870224,0.060677,0.256844,mcl,0.779091,0.060577,0.256844,odom,0.770388,-0.0001,0,
error,0.0699881,0.00308763,0.06992,0.691455,mcl,0.821981,0.06982,0.691455,odom,0.818893,-0.0001,0,
error,0.0823574,0.00841891,0.0819259,0.711222,mcl,0.884117,0.0818259,0.711222,odom,0.875698,-0.0001,0,
error,0.0659824,-0.010646,0.0651179,1.06271,mcl,0.904881,0.0650179,1.06271,odom,0.915527,-0.0001,0,
error,0.110611,-0.0520762,0.0975847,0.384592,mcl,0.911432,0.0974847,0.384592,odom,0.963508,-0.0001,0,
