error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.0371993,-0.0165092,0.0333352,-0.773546,mcl,-0.0165092,0.0332352,-0.773546,odom,0,-0.0001,0,
error,0.0371993,-0.0165092,0.0333352,-0.773546,mcl,-0.0165092,0.0332352,-0.773546,odom,0,-0.0001,0,
error,0.0503612,-0.0140849,0.0483514,-1.19447,mcl,-0.0140849,0.0482514,-1.19447,odom,0,-0.0001,0,
error,0.0232512,-0.0165405,0.0163411,-0.388409,mcl,-0.0165405,0.0162411,-0.388409,odom,0,-0.0001,0,
error,0.0391555,-0.0346606,0.0182153,-0.373522,mcl,-0.0346606,0.0181153,-0.373522,odom,0,-0.0001,0,
error,0.0359289,-0.0310637,0.0180538,-0.721441,mcl,-0.0310637,0.0179538,-0.721441,odom,0,-0.0001,0,
error,0.0440918,-0.0410003,0.0162191,-0.360175,mcl,-0.0410003,0.0161191,-0.360175,odom,0,-0.0001,0,
error,0.0201889,-0.0120821,0.0161745,-0.396611,mcl,-0.0120821,0.0160745,-0.396611,odom,0,-0.0001,0,
error,0.0127391,-0.00954829,0.00843297,-1.77325,mcl,-0.00954829,0.00833297,-1.77325,odom,0,-0.0001,0,
error,0.0143243,-0.0120799,0.00769824,-0.5356,mcl,-0.0120799,0.00759824,-0.5356,odom,0,-0.0001,0,
error,0.0219521,-0.00942424,0.0198262,-0.631884,mcl,-0.00942424,0.0197262,-0.631884,odom,0,-0.0001,0,
error,0.0459108,0.0116888,0.0443979,-1.19533,mcl,0.0116888,0.0442979,-1.19533,odom,0,-0.0001,0,
error,0.0459108,0.0116888,0.0443979,-1.19533,mcl,0.0116888,0.0442979,-1.19533,odom,0,-0.0001,0,
error,0.0105165,0.000715445,0.0104921,-0.387585,mcl,0.000715445,0.0103921,-0.387585,odom,0,-0.0001,0,
error,0.0131143,0.00331507,0.0126884,-0.395025,mcl,0.00331507,0.0125884,-0.395025,odom,0,-0.0001,0,
error,0.04129,-0.0134978,0.0390215,-0.808356,mcl,0.0130952,0.0389215,-0.808356,odom,0.026593,-0.0001,0,
error,0.0257827,-0.0216777,0.013958,-0.410327,mcl,0.0497733,0.013858,-0.410327,odom,0.071451,-0.0001,0,
error,0.0312361,-0.0135551,0.0281417,-0.517987,mcl,0.113714,0.0280417,-0.517987,odom,0.12727,-0.0001,0,
error,0.0543767,-0.0406179,0.0361527,-0.959107,mcl,0.137784,0.0360527,-0.959107,odom,0.178402,-0.0001,0,
error,0.0551076,-0.00541433,0.054841,-1.39894,mcl,0.220143,0.054741,-1.39894,odom,0.225558,-0.0001,0,
error,0.060754,-0.0261441,0.054841,-1.39894,mcl,0.220143,0.054741,-1.39894,odom,0.246287,-0.0001,0,
error,0.0739944,-0.00518877,0.0738122,-1.50758,mcl,0.241099,0.0737122,-1.50758,odom,0.246287,-0.0001,0,
error,0.0465208,-0.0144671,0.0442141,-1.03485,mcl,0.23182,0.0441141,-1.03485,odom,0.246287,-0.0001,0,
error,0.0491598,-0.0230484,0.0434219,-1.05387,mcl,0.223239,0.0433219,-1.05387,odom,0.246287,-0.0001,0,
error,0.0454242,-0.00745503,0.0448083,-1.0625,mcl,0.238832,0.0447083,-1.0625,odom,0.246287,-0.0001,0,
error,0.0534333,-0.00793438,0.0528409,-1.08591,mcl,0.238353,0.0527409,-1.08591,odom,0.246287,-0.0001,0,
error,0.0484738,-0.0195909,0.0443386,-1.05999,mcl,0.226696,0.0442386,-1.05999,odom,0.246287,-0.0001,0,
error,0.0742707,-0.0315575,0.0672329,-1.48671,mcl,0.246699,0.0671329,-1.48671,odom,0.278256,-0.0001,0,
error,0.0580694,-0.013773,0.0564124,-1.15397,mcl,0.314245,0.0563124,-1.15397,odom,0.328018,-0.0001,0,
error,0.0432672,-0.0274398,0.033453,-0.819541,mcl,0.383776,0.033353,-0.819541,odom,0.411215,-0.0001,0,
error,0.0527649,-0.0426345,0.0310875,-0.767957,mcl,0.385337,0.0309875,-0.767957,odom,0.427972,-0.0001,0,
error,0.0581048,-0.0372723,0.0445752,-0.901076,mcl,0.441909,0.0444752,-0.901076,odom,0.479181,-0.0001,0,
error,0.0370968,-0.0120496,0.0350853,-1.25277,mcl,0.516677,0.0349853,-1.25277,odom,0.528727,-0.0001,0,
error,0.0464816,-0.0109704,0.0451684,-0.981559,mcl,0.567382,0.0450684,-0.981559,odom,0.578353,-0.0001,0,
error,0.0293274,-0.0198028,0.021632,-0.644556,mcl,0.602152,0.021532,-0.644556,odom,0.621955,-0.0001,0,
error,0.0389246,-0.0341354,0.0187055,-0.633294,mcl,0.641704,0.0186055,-0.633294,odom,0.675839,-0.0001,0,
error,0.0850886,-0.0774218,0.0352978,-0.69266,mcl,0.650649,0.0351978,-0.69266,odom,0.728071,-0.0001,0,
error,0.0620674,-0.0572037,0.0240851,-0.739552,mcl,0.715053,0.0239851,-0.739552,odom,0.772257,-0.0001,0,
error,0.0240153,-0.00474533,0.0235418,-0.483517,mcl,0.824659,0.0234418,-0.483517,odom,0.829404,-0.0001,0,
error,0.0389513,-0.0383752,0.00667403,-0.139041,mcl,0.840183,0.00657403,-0.139041,odom,0.878558,-0.0001,0,
error,0.0252378,-0.0246614,0.00536318,-0.183873,mcl,0.906333,0.00526318,-0.183873,odom,0.930994,-0.0001,0,
error,0.0714231,-0.0712214,0.00536318,-0.183873,mcl,0.906333,0.00526318,-0.183873,odom,0.977554,-0.0001,0,
error,0.0489709,-0.0483737,0.00762464,-0.245867,mcl,0.978806,0.00752464,-0.245867,odom,1.02718,-0.0001,0,
error,0.0257969,-0.0222199,0.0131055,-0.379308,mcl,1.05927,0.0130055,-0.379308,odom,1.08149,-0.0001,0,
error,0.0534424,-0.0519746,0.0124389,-0.0741395,mcl,1.07528,0.0123389,-0.0741395,odom,1.12725,-0.0001,0,
error,0.0704002,-0.0686298,0.0156887,-0.460991,mcl,1.10737,0.0155887,-0.460991,odom,1.176,-0.0001,0,
error,0.0626544,-0.0611363,0.0137087,-0.485605,mcl,1.16255,0.0136087,-0.485605,odom,1.22368,-0.0001,0,
error,0.0392965,-0.0384356,0.00818044,-0.188301,mcl,1.23687,0.00808044,-0.188301,odom,1.27531,-0.0001,0,
error,0.0700589,-0.0699134,0.00451295,0.109807,mcl,1.26032,0.00441295,0.109807,odom,1.33023,-0.0001,0,
error,0.0702868,-0.0663978,0.0230558,-0.320761,mcl,1.30778,0.0229558,-0.320761,odom,1.37418,-0.0001,0,
error,0.0501923,-0.0501349,0.00239935,0.0159456,mcl,1.37782,0.00229935,0.0159456,odom,1.42796,-0.0001,0,
error,0.0281001,-0.0269912,0.00781607,-0.373649,mcl,1.44742,0.00771607,-0.373649,odom,1.47442,-0.0001,0,
error,0.0534483,-0.0528298,0.00810787,1.31468,mcl,1.4736,0.00754216,-0.443492,odom,1.52643,-0.000565718,-1.75817,
error,0.0242263,-0.0240348,-0.00303971,0.530287,mcl,1.55832,-0.00669239,-4.43763,odom,1.58236,-0.00365268,-4.96792,
error,0.0186998,-0.0185322,0.00249809,0.483076,mcl,1.60983,-0.00604804,-7.13574,odom,1.62836,-0.00854613,-7.61882,
error,0.0189867,-0.0186318,0.00365389,-0.0339351,mcl,1.65644,-0.0120786,-10.3607,odom,1.67507,-0.0157325,-10.3267,
error,0.0504801,-0.0494575,0.0101089,1.76337,mcl,1.67164,-0.0149706,-11.2547,odom,1.7211,-0.0250795,-13.0181,
error,0.025604,-0.025336,0.00369446,0.609748,mcl,1.74561,-0.034069,-15.356,odom,1.77095,-0.0377635,-15.9657,
error,0.0803448,-0.0778035,0.0200477,3.75892,mcl,1.74561,-0.034069,-15.356,odom,1.82342,-0.0541167,-19.1149,
error,0.0508892,-0.0489198,0.01402,0.896751,mcl,1.82088,-0.0568637,-19.4504,odom,1.8698,-0.0708837,-20.3472,
error,0.0467,-0.0446733,0.0136081,0.274581,mcl,1.86926,-0.0736446,-20.0726,odom,1.91394,-0.0872528,-20.3472,
error,0.0156324,-0.0132826,0.00824284,0.136268,mcl,1.94825,-0.096662,-20.2109,odom,1.96153,-0.104905,-20.3472,
error,0.0127451,-0.012739,-0.000393592,0.00273542,mcl,1.99332,-0.12181,-20.3444,odom,2.00606,-0.121416,-20.3472,
error,0.0445327,-0.0433649,0.0101311,0.130521,mcl,2.01623,-0.13114,-20.2166,odom,2.0596,-0.141272,-20.3472,
error,0.0432585,-0.0418761,0.0108486,0.369094,mcl,2.06014,-0.146153,-19.9781,odom,2.10202,-0.157002,-20.3472,
error,0.0108424,-0.0107136,0.00166637,0.105613,mcl,2.1427,-0.174395,-20.2416,odom,2.15341,-0.176061,-20.3472,
error,0.03899,-0.0372509,0.0115149,0.105613,mcl,2.15838,-0.180203,-20.2416,odom,2.19563,-0.191718,-20.3472,
error,0.00685221,-0.0060179,-0.00327684,-0.119225,mcl,2.23458,-0.21167,-20.4664,odom,2.24059,-0.208393,-20.3472,
error,0.0205682,-0.0204593,0.00211398,-0.0220317,mcl,2.26772,-0.223926,-20.3692,odom,2.28818,-0.22604,-20.3472,
error,0.0268585,-0.0247246,0.0104916,-0.154124,mcl,2.30838,-0.232209,-20.5013,odom,2.3331,-0.242701,-20.3472,
error,0.0217848,-0.0202612,0.00800389,-0.189768,mcl,2.36143,-0.252715,-20.5369,odom,2.38169,-0.260719,-20.3472,
error,0.0259916,-0.0241357,0.00964513,0.226019,mcl,2.40651,-0.269229,-20.1212,odom,2.43065,-0.278874,-20.3472,
error,0.0763495,-0.0706731,0.0288887,-0.0513827,mcl,2.40646,-0.267225,-20.3986,odom,2.47714,-0.296114,-20.3472,
error,0.0194274,-0.0193299,0.0019444,-0.208166,mcl,2.5024,-0.310709,-20.5553,odom,2.52173,-0.312654,-20.3472,
error,0.0245912,-0.0194948,0.0149894,-0.187871,mcl,2.55604,-0.317615,-20.535,odom,2.57553,-0.332604,-20.3472,
error,0.0141429,-0.0128395,0.00593027,0.271675,mcl,2.60709,-0.343139,-20.0755,odom,2.61993,-0.349069,-20.3472,
error,0.034956,-0.0344447,0.0059564,0.1813,mcl,2.6354,-0.361623,-20.1659,odom,2.66984,-0.36758,-20.3472,
error,0.0390386,-0.033922,0.0193212,0.00975801,mcl,2.6785,-0.364047,-20.3374,odom,2.71242,-0.383368,-20.3472,
error,0.022478,-0.0220966,0.00412311,0.276865,mcl,2.73357,-0.395284,-20.0703,odom,2.75567,-0.399407,-20.3472,
error,0.0154785,-0.014779,0.00460062,-0.159455,mcl,2.78431,-0.41091,-20.5066,odom,2.79909,-0.415511,-20.3472,
error,0.0243328,-0.0232737,0.00710063,0.280192,mcl,2.82639,-0.427163,-20.067,odom,2.84966,-0.434264,-20.3472,
