error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.059882,0.00242991,0.0598326,-2.07807,mcl,0.00242991,0.0597326,-2.07807,odom,0,-0.0001,0,
error,0.059882,0.00242991,0.0598326,-2.07807,mcl,0.00242991,0.0597326,-2.07807,odom,0,-0.0001,0,
error,0.101821,0.0388363,0.0941242,-0.678728,mcl,0.0388363,0.0940242,-0.678728,odom,0,-0.0001,0,
error,0.117335,0.0874687,0.0782101,-2.43748,mcl,0.0874687,0.0781101,-2.43748,odom,0,-0.0001,0,
error,0.0605007,0.0112169,0.0594518,-0.986034,mcl,0.0112169,0.0593518,-0.986034,odom,0,-0.0001,0,
error,0.122381,0.0183811,0.120993,-1.67331,mcl,0.0183811,0.120893,-1.67331,odom,0,-0.0001,0,
error,0.107966,0.0130371,0.107176,-0.997774,mcl,0.0130371,0.107076,-0.997774,odom,0,-0.0001,0,
error,0.0682514,0.00958976,0.0675743,-1.78897,mcl,0.00958976,0.0674743,-1.78897,odom,0,-0.0001,0,
error,0.0493552,-0.0066407,0.0489064,0.240874,mcl,-0.0066407,0.0488064,0.240874,odom,0,-0.0001,0,
error,0.0778487,0.0407967,0.0663027,0.247045,mcl,0.0407967,0.0662027,0.247045,odom,0,-0.0001,0,
error,0.050611,-0.0444302,0.024237,0.237146,mcl,-0.0444302,0.024137,0.237146,odom,0,-0.0001,0,
error,0.0177839,-0.0104639,0.0143797,-0.734355,mcl,-0.0104639,0.0142797,-0.734355,odom,0,-0.0001,0,
error,0.108994,0.0182926,0.107448,-0.483602,mcl,0.0182926,0.107348,-0.483602,odom,0,-0.0001,0,
error,0.0492961,-0.0421907,0.0254962,1.06428,mcl,-0.0421907,0.0253962,1.06428,odom,0,-0.0001,0,
error,0.0779544,-0.0299869,0.0719561,0.317003,mcl,-0.0299869,0.0718561,0.317003,odom,0,-0.0001,0,
error,0.0720547,-0.0715395,-0.00860114,1.22343,mcl,-0.0662514,-0.00870114,1.22343,odom,0.00528812,-0.0001,0,
error,0.0537303,-0.0486322,0.0228441,-0.0424331,mcl,0.000330588,0.0227441,-0.0424331,odom,0.0489628,-0.0001,0,
