error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.0366956,-0.00398479,0.0364786,-0.688038,mcl,-0.00398479,0.0363786,-0.688038,odom,0,-0.0001,0,
error,0.0366956,-0.00398479,0.0364786,-0.688038,mcl,-0.00398479,0.0363786,-0.688038,odom,0,-0.0001,0,
error,0.0436308,0.0155663,0.0407595,-0.598599,mcl,0.0155663,0.0406595,-0.598599,odom,0,-0.0001,0,
error,0.0551979,0.00616448,0.0548526,-0.752042,mcl,0.00616448,0.0547526,-0.752042,odom,0,-0.0001,0,
error,0.0309963,-0.0124429,0.0283891,-0.501063,mcl,-0.0124429,0.0282891,-0.501063,odom,0,-0.0001,0,
error,0.0240851,0.000795099,0.024072,-0.30833,mcl,0.000795099,0.023972,-0.30833,odom,0,-0.0001,0,
error,0.0321481,0.00283571,0.0320228,-0.530205,mcl,0.00283571,0.0319228,-0.530205,odom,0,-0.0001,0,
error,0.00762107,0.00286275,0.00706296,-0.122189,mcl,0.00286275,0.00696296,-0.122189,odom,0,-0.0001,0,
error,0.00983556,0.00497886,0.00848228,-0.288397,mcl,0.00497886,0.00838228,-0.288397,odom,0,-0.0001,0,
error,0.0210593,-0.0004276,0.021055,-0.389995,mcl,-0.0004276,0.020955,-0.389995,odom,0,-0.0001,0,
error,0.0161786,0.00463546,0.0155003,-0.401231,mcl,0.00463546,0.0154003,-0.401231,odom,0,-0.0001,0,
error,0.0121751,0.00308849,0.0117769,-0.540061,mcl,0.00308849,0.0116769,-0.540061,odom,0,-0.0001,0,
error,0.0159865,0.0029947,0.0157035,-0.244443,mcl,0.0029947,0.0156035,-0.244443,odom,0,-0.0001,0,
error,0.04744,0.00911759,0.0465556,-0.822955,mcl,0.00911759,0.0464556,-0.822955,odom,0,-0.0001,0,
error,0.0376632,0.0114836,0.0358699,-0.59785,mcl,0.0114836,0.0357699,-0.59785,odom,0,-0.0001,0,
error,0.0268244,0.00186576,0.0267594,-0.528452,mcl,0.00985769,0.0266594,-0.528452,odom,0.00799193,-0.0001,0,
