error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.0236603,0.0236361,-0.0010708,0.279478,mcl,0.0236361,-0.0011708,0.279478,odom,0,-0.0001,0,
error,0.0236603,0.0236361,-0.0010708,0.279478,mcl,0.0236361,-0.0011708,0.279478,odom,0,-0.0001,0,
error,0.0310954,0.0289518,0.0113455,0.102662,mcl,0.0289518,0.0112455,0.102662,odom,0,-0.0001,0,
error,0.0256191,0.0253776,0.00350875,0.293537,mcl,0.0253776,0.00340875,0.293537,odom,0,-0.0001,0,
error,0.04683,0.0407529,0.0230706,-0.0499282,mcl,0.0407529,0.0229706,-0.0499282,odom,0,-0.0001,0,
error,0.0350817,0.034029,0.00852961,0.35509,mcl,0.034029,0.00842961,0.35509,odom,0,-0.0001,0,
error,0.0481677,0.0445309,0.0183609,-0.0743803,mcl,0.0445309,0.0182609,-0.0743803,odom,0,-0.0001,0,
error,0.0353265,0.0339536,0.00975284,0.0407128,mcl,0.0339536,0.00965284,0.0407128,odom,0,-0.0001,0,
error,0.0595079,0.0421187,0.0420382,-0.54897,mcl,0.0421187,0.0419382,-0.54897,odom,0,-0.0001,0,
error,0.0651445,0.0512655,0.0401953,-0.552927,mcl,0.0512655,0.0400953,-0.552927,odom,0,-0.0001,0,
error,0.044778,0.0419957,0.0155383,-0.28584,mcl,0.0419957,0.0154383,-0.28584,odom,0,-0.0001,0,
error,0.0539168,0.0485714,0.0234059,-0.381166,mcl,0.0485714,0.0233059,-0.381166,odom,0,-0.0001,0,
error,0.064622,0.0516073,0.0388933,-0.719741,mcl,0.0516073,0.0387933,-0.719741,odom,0,-0.0001,0,
error,0.0563123,0.044589,0.0343932,-0.565899,mcl,0.044589,0.0342932,-0.565899,odom,0,-0.0001,0,
error,0.0533482,0.0415868,0.033415,-0.316606,mcl,0.0415868,0.033315,-0.316606,odom,0,-0.0001,0,
error,0.0497307,0.0378296,0.032281,-0.285275,mcl,0.0378296,0.032181,-0.285275,odom,0,-0.0001,0,
error,0.0369189,0.0173049,0.0326121,-0.211106,mcl,0.0433425,0.0325121,-0.211106,odom,0.0260377,-0.0001,0,
error,0.0403164,0.0255999,0.0311457,-0.150619,mcl,0.0979731,0.0310457,-0.150619,odom,0.0723732,-0.0001,0,
error,0.0480723,0.0341039,0.0338803,-0.248051,mcl,0.162096,0.0337803,-0.248051,odom,0.127992,-0.0001,0,
error,0.0496736,0.0386731,0.0311745,-0.217364,mcl,0.213027,0.0310745,-0.217364,odom,0.174354,-0.0001,0,
error,0.0475793,0.0350081,0.0322215,-0.365421,mcl,0.262046,0.0321215,-0.365421,odom,0.227038,-0.0001,0,
error,0.0353972,0.0285709,0.0208965,0.126439,mcl,0.276668,0.0207965,0.126439,odom,0.248097,-0.0001,0,
error,0.0269968,0.0236917,0.0129433,0.236628,mcl,0.271788,0.0128433,0.236628,odom,0.248097,-0.0001,0,
error,0.0296573,0.0249371,0.0160528,0.15595,mcl,0.273034,0.0159528,0.15595,odom,0.248097,-0.0001,0,
error,0.0433083,0.0365379,0.0232506,0.00948637,mcl,0.284635,0.0231506,0.00948637,odom,0.248097,-0.0001,0,
error,0.0442032,0.0352511,0.0266699,-0.0213712,mcl,0.283348,0.0265699,-0.0213712,odom,0.248097,-0.0001,0,
