error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.0816866,0.0561534,0.0593254,-0.428584,mcl,0.0561534,0.0592254,-0.428584,odom,0,-0.0001,0,
error,0.0816866,0.0561534,0.0593254,-0.428584,mcl,0.0561534,0.0592254,-0.428584,odom,0,-0.0001,0,
error,0.0769441,0.0400638,0.0656908,0.0882986,mcl,0.0400638,0.0655908,0.0882986,odom,0,-0.0001,0,
error,0.106126,0.0830398,0.0660849,0.0997401,mcl,0.0830398,0.0659849,0.0997401,odom,0,-0.0001,0,
error,0.0918706,0.0426684,0.0813611,-0.310514,mcl,0.0426684,0.0812611,-0.310514,odom,0,-0.0001,0,
error,0.0503312,0.0501784,0.00391989,-0.0042638,mcl,0.0501784,0.00381989,-0.0042638,odom,0,-0.0001,0,
error,0.0961222,0.0597115,0.075326,-0.174634,mcl,0.0597115,0.075226,-0.174634,odom,0,-0.0001,0,
error,0.0655651,0.0547766,-0.036032,0.74775,mcl,0.0547766,-0.036132,0.74775,odom,0,-0.0001,0,
error,0.0271222,0.0234752,0.0135842,0.825005,mcl,0.0234752,0.0134842,0.825005,odom,0,-0.0001,0,
error,0.0375801,0.0213764,0.0309081,0.305105,mcl,0.0213764,0.0308081,0.305105,odom,0,-0.0001,0,
error,0.0446057,0.0404267,0.0188508,0.446516,mcl,0.0404267,0.0187508,0.446516,odom,0,-0.0001,0,
error,0.0613767,0.0383617,0.0479111,0.637859,mcl,0.0383617,0.0478111,0.637859,odom,0,-0.0001,0,
error,0.0594271,0.0269077,0.0529864,0.139002,mcl,0.0269077,0.0528864,0.139002,odom,0,-0.0001,0,
error,0.0359475,0.0280771,0.0224477,0.585772,mcl,0.0280771,0.0223477,0.585772,odom,0,-0.0001,0,
error,0.0853657,0.0408399,0.0749627,0.574274,mcl,0.0408399,0.0748627,0.574274,odom,0,-0.0001,0,
error,0.0821028,0.054646,0.0612755,0.650131,mcl,0.0690104,0.0611755,0.650131,odom,0.0143645,-0.0001,0,
error,0.121208,0.0435006,0.113134,0.781694,mcl,0.105435,0.113034,0.781694,odom,0.0619345,-0.0001,0,
error,0.113603,0.0087278,0.113267,0.781694,mcl,0.115231,0.113167,0.781694,odom,0.106504,-0.0001,0,
error,0.0719289,0.0262777,0.0669571,0.523496,mcl,0.185191,0.0668571,0.523496,odom,0.158914,-0.0001,0,
error,0.0949237,0.0577863,0.0753078,-0.0475092,mcl,0.268918,0.0752078,-0.0475092,odom,0.211132,-0.0001,0,
error,0.0912005,0.0621906,0.0667073,0.193491,mcl,0.308357,0.0666073,0.193491,odom,0.246166,-0.0001,0,
error,0.0928784,0.0646099,0.0667229,0.193491,mcl,0.312972,0.0666229,0.193491,odom,0.248362,-0.0001,0,
error,0.0696976,0.0598308,0.0357495,0.83655,mcl,0.308193,0.0356495,0.83655,odom,0.248362,-0.0001,0,
error,0.0827129,0.066965,0.0485501,0.735701,mcl,0.315327,0.0484501,0.735701,odom,0.248362,-0.0001,0,
error,0.0283433,0.0239026,0.0152319,0.801598,mcl,0.272264,0.0151319,0.801598,odom,0.248362,-0.0001,0,
error,0.0770726,0.0561847,0.0527586,0.409954,mcl,0.304546,0.0526586,0.409954,odom,0.248362,-0.0001,0,
error,0.0841917,0.0585426,0.0605061,0.29034,mcl,0.306904,0.0604061,0.29034,odom,0.248362,-0.0001,0,
error,0.0693946,0.0293597,0.0628778,0.8499,mcl,0.292105,0.0627778,0.8499,odom,0.262745,-0.0001,0,
error,0.0580719,0.056579,0.013083,1.45946,mcl,0.363834,0.012983,1.45946,odom,0.307255,-0.0001,0,
error,0.0573919,0.0374164,0.0435183,0.358989,mcl,0.395131,0.0434183,0.358989,odom,0.357715,-0.0001,0,
error,0.0504152,-0.000437488,0.0504133,0.90408,mcl,0.409154,0.0503133,0.90408,odom,0.409591,-0.0001,0,
error,0.0383565,-0.0121231,0.0363903,1.29151,mcl,0.444255,0.0362903,1.29151,odom,0.456378,-0.0001,0,
error,0.0676245,0.0416811,0.0532518,0.845886,mcl,0.547083,0.0531518,0.845886,odom,0.505402,-0.0001,0,
error,0.0642053,0.0317608,0.0557994,1.28156,mcl,0.592068,0.0556994,1.28156,odom,0.560307,-0.0001,0,
error,0.0424708,0.00245122,0.0424,1.37616,mcl,0.609827,0.0423,1.37616,odom,0.607375,-0.0001,0,
error,0.0579338,0.0200932,0.0543377,1.07115,mcl,0.680731,0.0542377,1.07115,odom,0.660638,-0.0001,0,
error,0.0692194,0.0570705,0.0391699,0.576872,mcl,0.761762,0.0390699,0.576872,odom,0.704692,-0.0001,0,
error,0.071403,0.0423889,0.0574593,0.810034,mcl,0.800333,0.0573593,0.810034,odom,0.757944,-0.0001,0,
error,0.0963672,0.0325655,0.090698,1.06399,mcl,0.841002,0.090598,1.06399,odom,0.808436,-0.0001,0,
error,0.0722648,0.052493,0.0496658,0.79135,mcl,0.910554,0.0495658,0.79135,odom,0.858061,-0.0001,0,
error,0.033161,0.00668486,0.0324802,1.20633,mcl,0.913651,0.0323802,1.20633,odom,0.906966,-0.0001,0,
error,0.0665686,0.0576521,0.0332808,1.26363,mcl,1.0117,0.0331808,1.26363,odom,0.954045,-0.0001,0,
error,0.0803045,0.0788218,0.0153604,1.9909,mcl,1.08179,0.0152604,1.9909,odom,1.00297,-0.0001,0,
error,0.037633,-0.0353298,0.0129634,1.74374,mcl,1.01805,0.0128634,1.74374,odom,1.05338,-0.0001,0,
error,0.0686543,0.0541792,0.0421667,1.04839,mcl,1.16399,0.0420667,1.04839,odom,1.10981,-0.0001,0,
error,0.0572233,0.00779505,0.0566899,2.08571,mcl,1.16731,0.0565899,2.08571,odom,1.15951,-0.0001,0,
error,0.039317,-0.0185321,0.0346754,2.87539,mcl,1.18842,0.0345754,2.87539,odom,1.20695,-0.0001,0,
error,0.0509388,0.0397679,0.0318319,2.19936,mcl,1.2984,0.0317319,2.19936,odom,1.25863,-0.0001,0,
error,0.0385718,0.0227983,0.031113,2.2577,mcl,1.32984,0.031013,2.2577,odom,1.30704,-0.0001,0,
error,0.0496504,-0.049481,0.0040978,2.05818,mcl,1.31107,0.0039978,2.05818,odom,1.36055,-0.0001,0,
error,0.0722249,0.0543172,0.0476033,0.941892,mcl,1.46224,0.0475033,0.941892,odom,1.40792,-0.0001,0,
error,0.0952804,0.0751875,0.0585251,1.20153,mcl,1.53444,0.0584251,1.20153,odom,1.45925,-0.0001,0,
error,0.0559041,0.00490615,0.0556884,1.55866,mcl,1.50757,0.0555377,1.06116,odom,1.50267,-0.00015069,-0.497503,
error,0.0625186,0.0458925,0.0424554,3.92539,mcl,1.59854,0.0409866,0.792079,odom,1.55264,-0.00146878,-3.13331,
error,0.0846489,0.0636213,0.055837,1.39619,mcl,1.66814,0.0503677,-4.71873,odom,1.60452,-0.00546928,-6.11492,
error,0.100966,0.081706,0.0593149,2.30994,mcl,1.73816,0.0471038,-6.80582,odom,1.65646,-0.0122111,-9.11576,
error,0.0422407,0.0328683,0.0265321,2.78796,mcl,1.73977,0.00508559,-9.2667,odom,1.70691,-0.0214465,-12.0547,
error,0.0537484,-0.0269692,0.0464925,5.28327,mcl,1.72904,0.0134771,-9.66211,odom,1.75601,-0.0330154,-14.9454,
error,0.0524116,0.0258244,0.0456078,3.9283,mcl,1.83021,-0.00144046,-13.9032,odom,1.80438,-0.0470483,-17.8315,
error,0.0417899,0.0211957,0.0360158,3.07514,mcl,1.8765,-0.028522,-16.8268,odom,1.8553,-0.0645377,-19.9019,
error,0.0752104,0.0427926,0.0618497,2.97413,mcl,1.94506,-0.0197193,-16.9651,odom,1.90226,-0.0815691,-19.9392,
error,0.0779938,0.0489511,0.0607192,2.2397,mcl,1.98744,-0.0339919,-17.6995,odom,1.93849,-0.0947111,-19.9392,
error,0.0865111,0.0609786,0.061366,2.43903,mcl,2.05147,-0.0522108,-17.5002,odom,1.9905,-0.113577,-19.9392,
error,0.102473,0.0222558,0.100027,2.83217,mcl,2.05637,-0.0293724,-17.1071,odom,2.03411,-0.129399,-19.9392,
error,0.106322,0.0036209,0.106261,2.57847,mcl,2.08617,-0.0407092,-17.3608,odom,2.08255,-0.14697,-19.9392,
error,0.106851,0.0486208,0.0951476,2.37939,mcl,2.184,-0.0709873,-17.5598,odom,2.13538,-0.166135,-19.9392,
error,0.0816557,0.0109295,0.080921,2.99848,mcl,2.19228,-0.101891,-16.9408,odom,2.18135,-0.182812,-19.9392,
error,0.0837991,0.00617836,0.083571,3.16952,mcl,2.23423,-0.116184,-16.7697,odom,2.22805,-0.199755,-19.9392,
error,0.102579,0.0807426,0.06327,2.02012,mcl,2.35088,-0.151752,-17.9191,odom,2.27014,-0.215022,-19.9392,
error,0.104991,0.0546503,0.0896468,3.21459,mcl,2.37819,-0.144747,-16.7246,odom,2.32353,-0.234393,-19.9392,
error,0.133311,0.0485355,0.124161,3.047,mcl,2.41466,-0.125681,-16.8922,odom,2.36612,-0.249842,-19.9392,
error,0.131891,0.0946084,0.0918942,3.86393,mcl,2.50657,-0.174577,-16.0753,odom,2.41196,-0.266472,-19.9392,
error,0.111512,0.0383013,0.104728,2.70468,mcl,2.49944,-0.179585,-17.2346,odom,2.46114,-0.284314,-19.9392,
error,0.0715537,0.0171617,0.0694651,3.46182,mcl,2.52561,-0.23201,-16.4774,odom,2.50845,-0.301475,-19.9392,
error,0.101389,0.0753536,0.0678355,3.24361,mcl,2.62727,-0.249409,-16.6956,odom,2.55192,-0.317245,-19.9392,
error,0.163924,0.117546,0.114255,2.62035,mcl,2.72144,-0.221843,-17.3189,odom,2.60389,-0.336098,-19.9392,
error,0.117866,0.0747466,0.0911335,2.21078,mcl,2.72332,-0.261174,-17.7285,odom,2.64857,-0.352307,-19.9392,
error,0.15288,0.107332,0.108868,2.78035,mcl,2.80041,-0.259583,-17.1589,odom,2.69307,-0.368451,-19.9392,
error,0.132437,0.042934,0.125285,3.26774,mcl,2.78937,-0.262526,-16.6715,odom,2.74644,-0.387811,-19.9392,
error,0.114962,0.00634007,0.114788,2.54633,mcl,2.79676,-0.288977,-17.3929,odom,2.79042,-0.403765,-19.9392,
error,0.122014,0.0760284,0.0954317,2.73466,mcl,2.9455,-0.337012,-17.2046,odom,2.86947,-0.432443,-19.9392,
error,0.118928,0.0648466,0.0996938,2.73466,mcl,2.94935,-0.338202,-17.2046,odom,2.8845,-0.437895,-19.9392,
error,0.0762041,0.0348593,0.0677635,2.57332,mcl,2.97074,-0.388771,-17.3659,odom,2.93588,-0.456534,-19.9392,
error,0.132083,0.0577757,0.118776,3.69764,mcl,3.02892,-0.350552,-16.2416,odom,2.97115,-0.469328,-19.9392,
error,0.120464,0.0529607,0.108197,1.46365,mcl,3.07683,-0.380185,-17.8708,odom,3.02387,-0.488383,-19.3345,
error,0.126504,0.0182134,0.125186,2.92243,mcl,3.0898,-0.378947,-13.701,odom,3.07158,-0.504133,-16.6234,
error,0.10773,0.0616186,0.088368,2.98446,mcl,3.17876,-0.428394,-10.9301,odom,3.11714,-0.516762,-13.9146,
error,0.141863,0.0367307,0.137025,3.07013,mcl,3.2009,-0.39039,-8.08135,odom,3.16417,-0.527416,-11.1515,
error,0.186165,0.0719621,0.171694,3.35983,mcl,3.2885,-0.364845,-4.74551,odom,3.21654,-0.536539,-8.10534,
error,0.154891,0.0716859,0.137304,4.52425,mcl,3.34092,-0.405693,-1.4361,odom,3.26923,-0.542997,-5.96035,
error,0.167403,0.0498952,0.159794,4.21579,mcl,3.37183,-0.388659,-1.68595,odom,3.32193,-0.548453,-5.90173,
error,0.18568,0.0976859,0.157907,3.26498,mcl,3.46497,-0.395235,-2.63675,odom,3.36728,-0.553141,-5.90173,
error,0.138214,0.0273065,0.13549,4.33076,mcl,3.4431,-0.422666,-1.57097,odom,3.41579,-0.558155,-5.90173,
