error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,0.0482851,0.0473412,0.00950054,-5.78933,mcl,0.0473412,0.00940054,-5.78933,odom,0,-0.0001,0,
error,0.0482851,0.0473412,0.00950054,-5.78933,mcl,0.0473412,0.00940054,-5.78933,odom,0,-0.0001,0,
error,0.043623,-0.0431934,0.00610702,-5.7603,mcl,-0.0431934,0.00600702,-5.7603,odom,0,-0.0001,0,
error,0.0358697,0.0349787,0.00794555,-5.6383,mcl,0.0349787,0.00784555,-5.6383,odom,0,-0.0001,0,
error,0.0468943,0.0466089,-0.00516584,-25.798,mcl,0.0466089,-0.00526584,-25.798,odom,0,-0.0001,0,
error,0.0424418,0.0410297,-0.0108568,-25.6236,mcl,0.0410297,-0.0109568,-25.6236,odom,0,-0.0001,0,
error,0.0419657,0.0409318,-0.00925817,-25.341,mcl,0.0409318,-0.00935817,-25.341,odom,0,-0.0001,0,
error,0.0422171,0.0380697,-0.0182479,-25.7785,mcl,0.0380697,-0.0183479,-25.7785,odom,0,-0.0001,0,
error,0.0432596,0.0432118,-0.00203374,-25.7902,mcl,0.0432118,-0.00213374,-25.7902,odom,0,-0.0001,0,
error,0.0367822,0.0306032,-0.0204052,-25.5821,mcl,0.0306032,-0.0205052,-25.5821,odom,0,-0.0001,0,
error,0.0453047,0.0267506,-0.0365639,-25.5477,mcl,0.0267506,-0.0366639,-25.5477,odom,0,-0.0001,0,
error,0.0476854,0.0476614,0.00151183,-25.5294,mcl,0.0476614,0.00141183,-25.5294,odom,0,-0.0001,0,
error,0.0348772,0.0311668,-0.015654,-25.3985,mcl,0.0311668,-0.015754,-25.3985,odom,0,-0.0001,0,
error,0.0298821,0.0260645,-0.0146143,-25.3301,mcl,0.0260645,-0.0147143,-25.3301,odom,0,-0.0001,0,
error,0.0360607,0.0360567,-0.000543616,-24.9876,mcl,0.0360567,-0.000643616,-24.9876,odom,0,-0.0001,0,
error,0.03833,0.0210829,-0.0320109,-24.9127,mcl,0.0344657,-0.0321109,-24.9127,odom,0.0133828,-0.0001,0,
error,0.0457216,0.0352565,-0.029111,-25.5323,mcl,0.102126,-0.029211,-25.5323,odom,0.0668698,-0.0001,0,
error,0.0734165,0.0522874,-0.0515366,-24.709,mcl,0.160332,-0.0516366,-24.709,odom,0.108044,-0.0001,0,
error,0.0615236,0.0172197,-0.0590647,-25.6588,mcl,0.180917,-0.0591647,-25.6588,odom,0.163697,-0.0001,0,
